caso;mi_opcion(a/b/c);fiable(si/no);prob_correcta(0-1)
1;b;si;0.900
2;b;si;0.950
3;a;no;0.080
4;b;si;0.880
5;c;no;0.250
6;c;si;0.880
7;c;si;0.850
8;b;no;0.350
9;b;si;0.950
10;a;no;0.060
11;a;si;0.720
12;b;si;0.600
13;c;no;0.160
14;b;no;0.380
15;a;si;0.850
16;b;si;0.920
17;c;no;0.250
18;a;si;0.620
19;a;si;0.800
20;c;si;0.600
21;a;no;0.100
22;a;no;0.400
23;c;no;0.340
24;c;si;0.950
25;a;si;0.720
26;a;si;0.820
27;a;si;0.850
28;b;no;0.420
29;c;no;0.300
30;c;si;0.820
31;c;si;0.630
32;b;no;0.080
33;a;no;0.120
34;b;no;0.300
35;b;si;0.900
36;b;no;0.130
37;b;no;0.250
38;b;si;0.880
39;b;no;0.150
40;a;si;0.900
41;a;si;0.850
42;b;si;0.900
43;a;no;0.070
44;a;no;0.180
45;c;si;0.950
46;b;no;0.400
47;a;si;0.900
48;c;no;0.080
49;c;no;0.100
50;a;si;0.950
51;b;no;0.280
52;b;no;0.330
53;b;si;0.800
54;a;si;0.750
55;b;no;0.170
56;a;no;0.050
57;b;si;0.900
58;a;no;0.130
59;b;si;0.900
60;b;no;0.120
61;a;no;0.280
62;c;no;0.150
63;a;no;0.330
64;b;si;0.850
65;a;si;0.850
66;a;si;0.880
67;b;si;0.900
68;a;no;0.420
69;b;no;0.150
70;a;si;0.900
71;b;no;0.180
72;b;si;0.920
73;b;si;0.850
74;a;no;0.050
75;b;si;0.800
76;a;no;0.100
77;a;si;0.850
78;b;no;0.120
79;b;no;0.120
80;a;no;0.120
