tag;arm;id;correcta;elegida;categoria(T1-T5);subtags(C-DIST,C-DILU);notas
llama8b;con;4;a;b;T1;;
llama8b;con;8;b;c;T2;;
llama8b;con;13;c;desconocida;T5;;
llama8b;con;14;b;c;T3;;
llama8b;con;15;b;c;T1;;
llama8b;con;19;c;b;T2;;
llama8b;con;20;c;a;T3;;
llama8b;con;34;b;a;T1;;
llama8b;con;40;b;c;T1;;
llama8b;con;51;a;c;T2;;
llama8b;sin;1;a;c;T1;;
llama8b;sin;4;a;c;T3;;
llama8b;sin;5;b;c;T1;;
llama8b;sin;8;b;c;T1;;
llama8b;sin;10;b;c;T1;;
llama8b;sin;13;c;b;T1;;
llama8b;sin;14;b;a;T1;;
llama8b;sin;16;a;b;T1;;
llama8b;sin;19;c;b;T1;;
llama8b;sin;20;c;a;T1;;
llama8b;sin;21;a;b;T1;;
llama8b;sin;27;a;b;T1;;
llama8b;sin;32;a;b;T1;;
llama8b;sin;33;b;c;T1;;
llama8b;sin;34;b;c;T1;;
llama8b;sin;40;b;c;T1;;
llama8b;sin;41;c;a;T1;;
llama8b;sin;43;b;a;T1;;
llama8b;sin;44;b;c;T1;;
llama8b;sin;45;b;a;T1;;
llama8b;sin;48;a;b;T1;;
llama8b;sin;49;b;a;T1;;
llama8b;sin;53;b;a;T1;;
qlora;con;2;c;b;T2;;
qlora;con;4;a;b;T1;;
qlora;con;6;c;b;T1;;
qlora;con;7;a;b;T1;;
qlora;con;8;b;a;T3;;
qlora;con;10;b;c;T2;;
qlora;con;13;c;desconocida;T5;;
qlora;con;14;b;c;T3;;
qlora;con;15;b;c;T1;;
qlora;con;19;c;b;T1;;
qlora;con;20;c;a;T3;;
qlora;con;34;b;a;T1;;
qlora;con;51;a;c;T2;;
qlora;sin;1;a;c;T1;;
qlora;sin;4;a;c;T3;;
qlora;sin;5;b;c;T1;;
qlora;sin;6;c;a;T1;;
qlora;sin;7;a;b;T1;;
qlora;sin;8;b;c;T1;;
qlora;sin;10;b;c;T1;;
qlora;sin;13;c;b;T3;;
qlora;sin;14;b;a;T1;;
qlora;sin;16;a;b;T1;;
qlora;sin;20;c;desconocida;T5;;
qlora;sin;24;a;b;T1;;
qlora;sin;40;b;c;T1;;
qlora;sin;42;a;b;T1;;
qlora;sin;43;b;a;T1;;
qlora;sin;44;b;c;T1;;
qlora;sin;48;a;b;T1;;
qlora;sin;51;a;desconocida;T5;;
qlora;sin;53;b;a;T1;;
qwen7b;con;1;a;c;T3;;
qwen7b;con;2;c;b;T2;;
qwen7b;con;4;a;b;T1;;
qwen7b;con;6;c;a;T1;;
qwen7b;con;8;b;c;T2;;
qwen7b;con;10;b;c;T2;;
qwen7b;con;14;b;c;T1;;
qwen7b;con;17;a;c;T3;;
qwen7b;con;19;c;b;T2;;
qwen7b;con;27;a;b;T3;;
qwen7b;con;35;a;desconocida;T5;;
qwen7b;con;37;a;c;T2;;
qwen7b;con;40;b;desconocida;T5;;
qwen7b;con;46;a;desconocida;T5;;
qwen7b;con;51;a;c;T2;;
qwen7b;con;53;b;a;T1;;
qwen7b;sin;1;a;c;T1;;
qwen7b;sin;4;a;b;T3;;
qwen7b;sin;5;b;c;T1;;
qwen7b;sin;6;c;b;T1;;
qwen7b;sin;7;a;b;T1;;
qwen7b;sin;8;b;a;T1;;
qwen7b;sin;10;b;c;T1;;
qwen7b;sin;13;c;b;T1;;
qwen7b;sin;14;b;a;T1;;
qwen7b;sin;19;c;b;T1;;
qwen7b;sin;40;b;desconocida;T5;;
qwen7b;sin;41;c;b;T1;;
qwen7b;sin;42;a;c;T1;;
qwen7b;sin;44;b;a;T1;;
qwen7b;sin;45;b;a;T1;;
qwen7b;sin;50;b;c;T1;;
qwen7b;sin;51;a;c;T1;;
med42;con;2;c;b;T2;;
med42;con;3;c;b;T3;;
med42;con;4;a;desconocida;T5;;
med42;con;6;c;a;T1;;
med42;con;10;b;c;T2;;
med42;con;13;c;desconocida;T5;;
med42;con;14;b;c;T3;;
med42;con;20;c;a;T3;;
med42;con;25;b;desconocida;T5;;
med42;con;27;a;b;T4;;
med42;con;31;b;desconocida;T5;;
med42;con;39;a;c;T4;;
med42;con;51;a;desconocida;T5;;
med42;sin;1;a;c;T1;;
med42;sin;2;c;b;T1;;
med42;sin;3;c;desconocida;T5;;
med42;sin;4;a;c;T1;;
med42;sin;6;c;a;T1;;
med42;sin;8;b;c;T3;;
med42;sin;10;b;c;T1;;
med42;sin;15;b;c;T4;;
med42;sin;16;a;desconocida;T5;;
med42;sin;20;c;a;T1;;
med42;sin;24;a;b;T1;;
med42;sin;25;b;c;T4;;
med42;sin;28;a;c;T1;;
med42;sin;32;a;desconocida;T5;;
med42;sin;35;a;b;T1;;
med42;sin;40;b;c;T1;;
med42;sin;41;c;a;T1;;
med42;sin;43;b;c;T1;;
med42;sin;48;a;b;T1;;
med42;sin;50;b;a;T1;;
